OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
1,2015,NonResidential,Hotel,7,DOWNTOWN,47.61219025,-122.33799744,1.0,12.0,88434,Hotel,6981428.0,249.43,2.64,88,1,1.0,0.0,88434.0,7369.5
2,2015,NonResidential,Hotel,7,DOWNTOWN,47.61310583,-122.33335756,1.0,11.0,103566,Hotel,8354235.0,263.51,2.38,19,3,0.85455,0.14545,103566.0,9415.091
3,2015,NonResidential,Hotel,7,DOWNTOWN,47.61334897,-122.33769944,1.0,41.0,961990,Hotel,73130656.0,2061.48,1.92,46,3,1.0,0.0,961990.0,23463.171
5,2015,NonResidential,Hotel,7,DOWNTOWN,47.61421585,-122.33660889,1.0,10.0,61320,Hotel,28229320.0,1936.34,31.38,89,1,1.0,0.0,61320.0,6132.0
8,2015,NonResidential,Hotel,7,DOWNTOWN,47.6137544,-122.3409238,1.0,18.0,119890,Hotel,14829099.0,507.7,4.02,35,3,0.89607,0.10393,119890.0,6660.556
9,2015,Nonresidential COS,Other,7,DOWNTOWN,47.6164389,-122.33676431,1.0,2.0,97288,Police Station,12051984.0,304.62,2.81,16,1,0.61765,0.38235,97288.0,48644.0
10,2015,NonResidential,Hotel,7,DOWNTOWN,47.6141141,-122.33274086,1.0,11.0,83008,Hotel,6252842.0,208.46,2.37,89,1,1.0,0.0,83008.0,7546.182
11,2015,NonResidential,Other,7,DOWNTOWN,47.61290234,-122.33130949,1.0,8.0,102761,Other - Entertainment/Public Assembly,6426022.0,199.99,1.77,89,1,1.0,0.0,102761.0,12845.125
12,2015,NonResidential,Hotel,7,DOWNTOWN,47.60258934,-122.33255325,1.0,15.0,163984,Hotel,12633744.0,331.61,1.83,111,1,1.0,0.0,163984.0,10932.267
15,2015,NonResidential,Hotel,7,DOWNTOWN,47.60712147,-122.33431932,1.0,11.0,153163,No information,14719853.0,576.63,3.59,46,1,0.87413,0.12587,153163.0,13923.909
16,2015,NonResidential,Hotel,7,DOWNTOWN,47.60718204,-122.33347215,1.0,25.0,333176,Hotel,27717026.0,723.4,1.93,17,1,0.81643,0.18357,333176.0,13327.04
17,2015,NonResidential,Hotel,7,DOWNTOWN,47.60709939,-122.33310536,1.0,9.0,65009,Hotel,6807227.0,334.87,5.04,87,1,1.0,0.0,65009.0,7223.222
18,2015,NonResidential,Hotel,7,DOWNTOWN,47.60809326,-122.33211517,1.0,33.0,315952,Hotel,22811690.0,675.34,1.95,35,2,0.81769,0.18231,315952.0,9574.303
19,2015,NonResidential,Hotel,7,DOWNTOWN,47.60761642,-122.3323288,1.0,11.0,67390,No information,10711451.0,486.25,6.95,93,1,1.0,0.0,67390.0,6126.364
21,2015,Nonresidential COS,Other,7,DOWNTOWN,47.60667501,-122.33226425,1.0,11.0,412000,Library,16849234.0,166.84,0.24,11,3,0.86165,0.13835,412000.0,37454.545
22,2015,NonResidential,Other,7,DOWNTOWN,47.60544586,-122.33280182,1.0,6.0,103911,Fitness Center/Health Club/Gym,10340282.0,411.09,3.74,85,3,1.0,0.0,103911.0,17318.5
23,2015,NonResidential,Hotel,7,DOWNTOWN,47.60656003,-122.33063632,1.0,28.0,416281,Hotel,33270518.0,755.12,1.59,32,2,0.79581,0.20419,416281.0,14867.179
24,2015,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60552597,-122.33163032,1.0,5.0,57452,Social/Meeting Hall,7481768.0,265.5,4.34,108,5,1.0,0.0,57452.0,11490.4
25,2015,NonResidential,Hotel,7,DOWNTOWN,47.60397899,-122.3320576,1.0,10.0,104352,No information,7845112.0,411.22,3.87,99,1,1.0,0.0,104352.0,10435.2
26,2015,NonResidential,Other,7,DOWNTOWN,47.60264587,-122.33052826,1.0,10.0,540360,Courthouse,53332648.0,1596.08,2.74,99,1,1.0,0.0,540360.0,54036.0
27,2015,NonResidential,Other,3,DOWNTOWN,47.60355377,-122.32830048,1.0,19.0,385274,Other,50899248.0,1795.42,4.44,30,1,1.0,0.0,385274.0,20277.579
28,2015,SPS-District K-12,K-12 School,2,SOUTHEAST,47.54570136,-122.2685843,1.0,2.0,56228,K-12 School,1454222.0,35.17,0.56,54,1,1.0,0.0,56228.0,28114.0
